산학협력관,="0101",102-1,부과원전,최수지
산학협력관,="0302",201,임상실습Ⅱ,김원일
산학협력관,="0302",205,오장생리론Ⅰ,강경화
산학협력관,="0302",501,침구과학Ⅰ,박재흥
산학협력관,="0302",502,면역학Ⅱ,박철
산학협력관,="0302",512,재활의학과학및실습Ⅱ,조성우
산학협력관,="0303",207,장기발생학Ⅰ,이용태
산학협력관,="0303",214,한방생리특론,김경철
산학협력관,="0303",314,경락경혈학실습Ⅱ,원지윤
산학협력관,="0303",412,원전Ⅱ,이상협
산학협력관,="0303",501,방제학Ⅱ,신순식
산학협력관,="0303",509,산과학Ⅱ,이인선
산학협력관,="0303",512,사상체질의학및실습Ⅱ,전수형
산학협력관,="0304",133,전공실기Ⅱ,홍은지
산학협력관,="0304",205,전공실기Ⅵ,이칠성
산학협력관,="0304",215,전공실기(박)Ⅱ,이기녕
산학협력관,="0304",301,피아노앙상블Ⅱ,김성숙
산학협력관,="0304",303,전공실기Ⅷ,이동섬
산학협력관,="0304",304,화성법Ⅱ,하기종
산학협력관,="0305",133,전공실기Ⅱ,홍은지
산학협력관,="0305",204,음악분석Ⅱ,이소영
산학협력관,="0305",205,전공실기Ⅷ,이칠성
산학협력관,="0305",301,합주(합창)Ⅳ,김화정
산학협력관,="0305",301,합주(합창)Ⅱ,김화정
산학협력관,="0305",301,합주(합창)실습Ⅳ,김화정
산학협력관,="0305",301,합주(합창)실습Ⅱ,김화정
산학협력관,="0305",306,전공실기Ⅳ,신영미
산학협력관,="0305",427,합주(합창)Ⅳ,윤상운
산학협력관,="0305",427,합주(합창)Ⅱ,윤상운
산학협력관,="0305",427,합주(합창)실습Ⅱ,윤상운
산학협력관,="0305",427,합주(합창)실습Ⅳ,윤상운
산학협력관,="0306",403,장병론Ⅰ,김원일
산학협력관,="0306",412,한의학원리론Ⅱ,이용태
산학협력관,="0306",501,상한론Ⅱ,지규용
산학협력관,="0306",502,조직학및실습Ⅱ,박철
산학협력관,="0306",509,방사선과학및실습Ⅰ,김경민
산학협력관,="0306",512,응급의학및실습,이봉호
산학협력관,="0307",302,논문지도(석),최영현
산학협력관,="0307",311,체질침구론Ⅰ,윤현민
산학협력관,="0307",412,한의학원리론Ⅱ,이용태
산학협력관,="0307",501,상한론Ⅱ,지규용
산학협력관,="0307",502,조직학및실습Ⅱ,박철
산학협력관,="0307",509,방사선과학및실습Ⅰ,김경민
산학협력관,="0307",512,응급의학및실습,이봉호
산학협력관,="0308",302,논문지도(석),최영현
산학협력관,="0308",412,한의학원리론Ⅱ,이용태
산학협력관,="0308",501,방제학Ⅱ,신순식
산학협력관,="0308",502,조직학및실습Ⅱ,박철
산학협력관,="0308",509,간계내과학Ⅱ,홍상훈
산학협력관,="0309",404,사상방제론,김종원
산학협력관,="0309",501,병리학Ⅱ,박신형
산학협력관,="0309",502,조직학및실습Ⅱ,박철
산학협력관,="0309",509,간계내과학Ⅱ,홍상훈
산학협력관,="0310",214,사상의학특론,전수형
산학협력관,="0310",409-1,비병론,윤화정
산학협력관,="0311",206,취상론과 형태망진론,김경철
산학협력관,="0311",208,양생론Ⅱ,이해웅
산학협력관,="0312",303,외식사업 사례연구,김영훈
산학협력관,="0312",305,특수연구,여호근
산학협력관,="0312",313,소비자행동 연구,최영민
산학협력관,="0312",708,마케팅 전략 연구,조상리
산학협력관,="0312",709,관광세미나Ⅱ,김현지
산학협력관,="0312",716,의사결정지원시스템,강병영
산학협력관,="0312",910,공공성과관리론,이정은
산학협력관,="0313",616,논문지도,김영훈
