국제관,="0201",220,신발공학개론,심영주
국제관,="0201",225,어패럴패턴테크닉,김인화
국제관,="0201",318,웹인터랙티브디자인Ⅱ,심미영
국제관,="0201",328-1,연구및조사방법,강혜경
국제관,="0201",508,고급영양학,윤군애
국제관,="0201",812,VMD(캡스톤디자인),정현주
국제관,="0202",103,소통과협력,오용섭
국제관,="0202",104,기업연계프로젝트Ⅱ,김권동
국제관,="0202",115,조형기법Ⅳ,강태훈
국제관,="0202",203,라이노CADⅡ,김미선
국제관,="0202",220,신발공학개론,심영주
국제관,="0202",225,어패럴패턴테크닉,김인화
국제관,="0202",309,서양미술사Ⅱ,박경애
국제관,="0202",315,전공탐색과생애설계Ⅰ-Ⅱ,김민우
국제관,="0202",318,웹인터랙티브디자인Ⅱ,심미영
국제관,="0202",319,비쥬얼커뮤니케이션디자인Ⅱ,양재범
국제관,="0202",328,영유아교수방법론,홍성희
국제관,="0202",328-1,연구및조사방법,강혜경
국제관,="0202",406,서양화연구Ⅱ,김성철
국제관,="0202",423,논문지도(박)Ⅱ,오용균
국제관,="0202",501,논리적사유와글쓰기,김용하
국제관,="0202",504,호스피탈리티중국어,이유주
국제관,="0202",505,전공탐색과생애설계Ⅰ-Ⅱ,손은주
국제관,="0202",507,기본영어,이미향
국제관,="0202",508,고급영양학,윤군애
국제관,="0202",812,VMD(캡스톤디자인),정현주
국제관,="0203",112,기계시스템설계,민병현
국제관,="0203",113,재료강도설계,이진경
국제관,="0203",120,철근콘크리트공학Ⅰ,황주영
국제관,="0203",121,철학의향기와역사이야기,김예슬
국제관,="0203",127,철학의향기와역사이야기,이은정
국제관,="0203",208,조선해양생산시스템공학,이재용
국제관,="0203",215,선박계산,윤석태
국제관,="0203",216,열역학,조용진
국제관,="0203",221,전산구조해석,이석민
국제관,="0203",229,해양시스템입문,신형철
국제관,="0203",305-A,의사결정설계및분석,백천현
국제관,="0203",313,스마트제조시스템,유종훈
국제관,="0203",319,응용역학실무,정범석
국제관,="0203",406,도시개발계획론,백태경
국제관,="0203",413,문학과삶(슬로리딩),김수환
국제관,="0203",416,철학의향기와역사이야기,김인호
국제관,="0203",420,환경화학Ⅱ,김노원
국제관,="0203",421,환경법규,정병길
국제관,="0203",427,프로그래밍언어및실습,문인혁
국제관,="0203",427,프로그래밍언어및실습,문인혁
국제관,="0203",513,첨단전자소재공학,이원재
국제관,="0203",514,도시재생,윤상복
국제관,="0203",516,재료과학개론Ⅰ,박성수
국제관,="0203",518,코너스톤디자인,성충현
국제관,="0203",518,코너스톤디자인,성충현
국제관,="0203",519,코너스톤디자인,이근형
국제관,="0203",519,코너스톤디자인,이근형
국제관,="0203",520,재료강도학,윤치상
국제관,="0203",521,부식과방식,정찬영
국제관,="0203",527,열전달,정소담
국제관,="0203",616,비용관리,이상범
국제관,="0203",620,구조역학Ⅱ,이형래
국제관,="0203",701-B,건축설계Ⅱ,양재혁
국제관,="0203",701-C,건축설계Ⅱ,엄지호
국제관,="0203",702-B,건축설계Ⅳ,김은희
국제관,="0203",702-C,건축설계Ⅳ,전상욱
국제관,="0203",703-Ⅰ,건축설계Ⅳ,강영
국제관,="0203",703-Ⅱ,건축설계Ⅵ(캡스톤디자인),최준석
국제관,="0203",703-B,건축설계Ⅳ,석민철
국제관,="0203",703-C,건축설계Ⅳ,신병윤
국제관,="0203",703-D,건축설계Ⅵ(캡스톤디자인),정진균
국제관,="0203",704-Ⅰ,건축설계Ⅵ(캡스톤디자인),이태문
국제관,="0203",704-Ⅱ,건축설계Ⅷ,허진우
국제관,="0203",704-B,건축설계Ⅵ(캡스톤디자인),이수헌
국제관,="0203",704-C,건축설계Ⅵ(캡스톤디자인),최임주
국제관,="0203",704-D,건축설계Ⅷ,이권형
국제관,="0203",704-E,건축설계Ⅷ,김희근
국제관,="0203",735-A,건축설계Ⅱ,조재득
국제관,="0203",735-B,건축설계Ⅱ,조현석
국제관,="0203",735-C,건축설계Ⅱ,노진석
국제관,="0204",301,화공기초실험Ⅱ,양진경
국제관,="0204",420,대학일반화학Ⅱ,김노원
국제관,="0204",427,프로그래밍언어및실습,문인혁
국제관,="0204",427,프로그래밍언어및실습,문인혁
국제관,="0204",513,고분자가공,김미라
국제관,="0204",516,전공탐색과생애설계Ⅰ-Ⅱ,김일수
국제관,="0204",518,코너스톤디자인,성충현
국제관,="0204",518,코너스톤디자인,성충현
국제관,="0204",519,코너스톤디자인,이근형
국제관,="0204",519,코너스톤디자인,이근형
국제관,="0204",520,재료분석실습,조일국
국제관,="0204",521,부식과방식,정찬영
국제관,="0204",616,건축시공학Ⅱ,양진국
국제관,="0204",620,구조역학Ⅱ,이형래
국제관,="0204",701-B,건축설계Ⅱ,양재혁
국제관,="0204",701-C,건축설계Ⅱ,엄지호
국제관,="0204",702-B,건축설계Ⅳ,김은희
국제관,="0204",702-C,건축설계Ⅳ,전상욱
국제관,="0204",703-Ⅰ,건축설계Ⅳ,강영
국제관,="0204",703-Ⅱ,건축설계Ⅵ(캡스톤디자인),최준석
국제관,="0204",703-B,건축설계Ⅳ,석민철
국제관,="0204",703-C,건축설계Ⅳ,신병윤
국제관,="0204",703-D,건축설계Ⅵ(캡스톤디자인),정진균
국제관,="0204",704-Ⅰ,건축설계Ⅵ(캡스톤디자인),이태문
국제관,="0204",704-Ⅱ,건축설계Ⅷ,허진우
국제관,="0204",704-B,건축설계Ⅵ(캡스톤디자인),이수헌
국제관,="0204",704-C,건축설계Ⅵ(캡스톤디자인),최임주
국제관,="0204",704-D,건축설계Ⅷ,이권형
국제관,="0204",704-E,건축설계Ⅷ,김희근
국제관,="0204",735-A,건축설계Ⅱ,조재득
국제관,="0204",735-B,건축설계Ⅱ,조현석
국제관,="0204",735-C,건축설계Ⅱ,노진석
국제관,="0205",112,열전달,손영석
국제관,="0205",113,고체역학,이상필
국제관,="0205",119,소성공학,곽효서
국제관,="0205",120,재료역학Ⅱ,정범석
국제관,="0205",127,전공탐색과생애설계Ⅰ-Ⅱ,문두열
국제관,="0205",208,선박추진기설계,서성부
국제관,="0205",215,철학의향기와역사이야기,구자상
국제관,="0205",216,응용통계학,조용진
